Waf: Entering directory `/home/kentux/git/ns-3-dev-git/build'
Waf: Leaving directory `/home/kentux/git/ns-3-dev-git/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.063s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00468245  	94.789       	0.340616   	12.3771   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.93 	11.5337   
0       1       2       	0.662	8.21588   
0       1       3       	0.078	0.919559  
0       1       4       	0.052	0.654662  
0       1       5       	0.476	5.92519   
0       1       6       	0.082	1.02075   
0       1       7       	0.22 	2.72119   
0       1       8       	0.67 	8.28576   
0       1       9       	0.952	11.8244   
0       1       10      	0.668	8.22329   
0       1       11      	0.896	11.1811   
0       1       12      	0.354	4.37612   
0       1       13      	0.958	11.8919   
0       1       14      	0.514	6.46287   
0       1       15      	0.958	11.8995   
0       1       16      	0.3  	3.78643   
0       1       17      	0.938	11.6579   
0       1       18      	0.514	6.38865   
0       1       19      	0.94 	11.6736   
0       1       20      	0.958	11.8844   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00417534  	90.5759      	0.404424   	13.9061   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.676	9.40746   
0       1       2       	0.132	1.83234   
0       1       3       	0.942	13.102    
0       1       4       	0.944	13.1628   
0       1       5       	0.728	10.0999   
0       1       6       	0.87 	12.1469   
0       1       7       	0.96 	13.3922   
0       1       8       	0.124	1.68849   
0       1       9       	0.15 	2.10559   
0       1       10      	0.958	13.355    
0       1       11      	0.158	2.20443   
0       1       12      	0.87 	12.0789   
0       1       13      	0.948	13.1999   
0       1       14      	0.936	12.994    
0       1       15      	0.564	7.84979   
0       1       16      	0.044	0.633368  
0       1       17      	0.476	6.55884   
0       1       18      	0.932	12.9526   
0       1       19      	0.894	12.3553   
0       1       20      	0.736	10.2969   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00425396  	91.7347      	0.388235   	13.686    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.058	0.786601  
0       1       2       	0.972	13.3219   
0       1       3       	0.662	9.05671   
0       1       4       	0.382	5.3098    
0       1       5       	0.748	10.3194   
0       1       6       	0.772	10.6113   
0       1       7       	0.884	12.1253   
0       1       8       	0.69 	9.39838   
0       1       9       	0.064	0.873618  
0       1       10      	0.906	12.4375   
0       1       11      	0.95 	13.017    
0       1       12      	0.674	9.24892   
0       1       13      	0.94 	12.8729   
0       1       14      	0.916	12.6214   
0       1       15      	0.238	3.29805   
0       1       16      	0.26 	3.56841   
0       1       17      	0.914	12.4879   
0       1       18      	0.174	2.39228   
0       1       19      	0.928	12.6917   
0       1       20      	0.81 	11.0638   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00406208  	88.8502      	0.420556   	14.3298   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.174	2.45328   
0       1       2       	0.944	13.5405   
0       1       3       	0.152	2.18936   
0       1       4       	0.69 	9.88838   
0       1       5       	0.258	3.67496   
0       1       6       	0.22 	3.15131   
0       1       7       	0.368	5.26587   
0       1       8       	0.914	13.131    
0       1       9       	0.948	13.5671   
0       1       10      	0.96 	13.7797   
0       1       11      	0.682	9.79185   
0       1       12      	0.674	9.59372   
0       1       13      	0.862	12.3736   
0       1       14      	0.794	11.3846   
0       1       15      	0.456	6.45566   
0       1       16      	0.81 	11.5332   
0       1       17      	0.3  	4.27228   
0       1       18      	0.956	13.7164   
0       1       19      	0.884	12.6776   
0       1       20      	0.972	13.9108   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00427079  	91.7827      	0.386215   	13.6516   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.466	6.33876   
0       1       2       	0.67 	9.17949   
0       1       3       	0.928	12.7252   
0       1       4       	0.938	12.779    
0       1       5       	0.81 	11.0313   
0       1       6       	0.232	3.15697   
0       1       7       	0.952	13.0762   
0       1       8       	0.5  	6.75847   
0       1       9       	0.514	6.96353   
0       1       10      	0.928	12.6333   
0       1       11      	0.398	5.45066   
0       1       12      	0.94 	12.8266   
0       1       13      	0.354	4.82587   
0       1       14      	0.964	13.2029   
0       1       15      	0.05 	0.68443   
0       1       16      	0.268	3.6464    
0       1       17      	0.826	11.2726   
0       1       18      	0.94 	12.8601   
0       1       19      	0.682	9.30277   
0       1       20      	0.15 	2.01836   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0039543   	86.7234      	0.440651   	14.6994   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.372	5.52181   
0       1       2       	0.794	11.6896   
0       1       3       	0.748	11.0478   
0       1       4       	0.282	4.15636   
0       1       5       	0.06 	0.879002  
0       1       6       	0.174	2.56232   
0       1       7       	0.772	11.2961   
0       1       8       	0.58 	8.4642    
0       1       9       	0.952	14.0424   
0       1       10      	0.884	13.0302   
0       1       11      	0.952	14.0337   
0       1       12      	0.214	3.14146   
0       1       13      	0.316	4.64771   
0       1       14      	0.938	13.8017   
0       1       15      	0.736	10.9065   
0       1       16      	0.954	14.0391   
0       1       17      	0.952	13.9924   
0       1       18      	0.232	3.44228   
0       1       19      	0.866	12.7428   
0       1       20      	0.548	8.05365   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00377567  	79.2966      	0.500475   	15.4103   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.826	12.7055   
0       1       2       	0.95 	14.6649   
0       1       3       	0.186	2.93029   
0       1       4       	0.938	14.4724   
0       1       5       	0.094	1.43523   
0       1       6       	0.95 	14.6812   
0       1       7       	0.952	14.6854   
0       1       8       	0.592	9.08516   
0       1       9       	0.232	3.54176   
0       1       10      	0.19 	2.89      
0       1       11      	0.258	4.01169   
0       1       12      	0.644	10.0063   
0       1       13      	0.69 	10.7147   
0       1       14      	0.95 	14.6777   
0       1       15      	0.83 	12.8616   
0       1       16      	0.948	14.5438   
0       1       17      	0.948	14.6872   
0       1       18      	0.938	14.4911   
0       1       19      	0.132	2.02469   
0       1       20      	0.514	7.94682   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386847  	83.777       	0.463582   	15.0233   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.89 	13.39     
0       1       2       	0.944	14.1733   
0       1       3       	0.926	13.911    
0       1       4       	0.932	14.0663   
0       1       5       	1    	15.0522   
0       1       6       	0.58 	8.7025    
0       1       7       	0.782	11.6954   
0       1       8       	0.18 	2.76173   
0       1       9       	0.894	13.4651   
0       1       10      	0.094	1.46605   
0       1       11      	0.534	8.09858   
0       1       12      	0.174	2.63338   
0       1       13      	0.132	1.99447   
0       1       14      	0.16 	2.41784   
0       1       15      	0.87 	13.0879   
0       1       16      	0.83 	12.4814   
0       1       17      	0.926	13.9186   
0       1       18      	0.726	10.9717   
0       1       19      	0.662	9.99359   
0       1       20      	0.948	14.2875   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00439699  	92.7983      	0.373404   	13.2384   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.178	2.34886   
0       1       2       	0.69 	9.13194   
0       1       3       	0.064	0.861635  
0       1       4       	0.226	3.04097   
0       1       5       	0.964	12.7959   
0       1       6       	0.158	2.12789   
0       1       7       	0.476	6.35865   
0       1       8       	0.922	12.2453   
0       1       9       	0.922	12.2014   
0       1       10      	0.42 	5.55902   
0       1       11      	0.15 	1.9643    
0       1       12      	0.776	10.2205   
0       1       13      	0.382	5.06825   
0       1       14      	0.794	10.4662   
0       1       15      	0.962	12.7545   
0       1       16      	0.938	12.4476   
0       1       17      	0.946	12.5762   
0       1       18      	0.938	12.4448   
0       1       19      	0.622	8.31493   
0       1       20      	0.476	6.31074   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00428078  	91.8183      	0.388435   	13.6006   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.382	5.19683   
0       1       2       	0.062	0.835161  
0       1       3       	0.564	7.64979   
0       1       4       	0.064	0.831236  
0       1       5       	0.926	12.5803   
0       1       6       	0.628	8.51788   
0       1       7       	0.476	6.46396   
0       1       8       	0.466	6.35548   
0       1       9       	0.718	9.85274   
0       1       10      	0.896	12.1996   
0       1       11      	0.662	8.97808   
0       1       12      	0.108	1.47005   
0       1       13      	0.74 	10.0874   
0       1       14      	0.58 	7.92914   
0       1       15      	0.942	12.8351   
0       1       16      	0.068	0.955415  
0       1       17      	0.276	3.71933   
0       1       18      	0.928	12.64     
0       1       19      	0.15 	2.03919   
0       1       20      	0.87 	11.8323   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00416276  	90.5091      	0.401114   	13.9991   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.586	8.14229   
0       1       2       	0.354	4.96183   
0       1       3       	1    	14.0306   
0       1       4       	0.794	11.0863   
0       1       5       	0.718	10.0176   
0       1       6       	0.772	10.7727   
0       1       7       	0.258	3.59328   
0       1       8       	0.548	7.63544   
0       1       9       	0.062	0.871853  
0       1       10      	0.894	12.4049   
0       1       11      	0.062	0.876069  
0       1       12      	0.944	13.2009   
0       1       13      	0.952	13.3778   
0       1       14      	0.962	13.4896   
0       1       15      	0.894	12.5057   
0       1       16      	0.896	12.5323   
0       1       17      	0.95 	13.3355   
0       1       18      	0.952	13.3357   
0       1       19      	0.846	11.8025   
0       1       20      	0.626	8.72795   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00477892  	95.2494      	0.330734   	12.1217   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.952	11.6018   
0       1       2       	0.914	11.1208   
0       1       3       	0.476	5.86536   
0       1       4       	0.296	3.59344   
0       1       5       	0.94 	11.4483   
0       1       6       	0.154	1.787     
0       1       7       	0.456	5.47346   
0       1       8       	0.192	2.33603   
0       1       9       	0.952	11.5802   
0       1       10      	0.058	0.721817  
0       1       11      	0.674	8.22502   
0       1       12      	0.174	2.16481   
0       1       13      	0.078	0.942106  
0       1       14      	0.938	11.4192   
0       1       15      	0.132	1.57672   
0       1       16      	0.042	0.490101  
0       1       17      	0.94 	11.4439   
0       1       18      	0.96 	11.6635   
0       1       19      	0.938	11.3981   
0       1       20      	0.942	11.4853   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0039746   	86.8179      	0.440713   	14.6466   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.15 	2.17439   
0       1       2       	0.476	7.02421   
0       1       3       	1    	14.6572   
0       1       4       	0.94 	13.7525   
0       1       5       	0.81 	11.8484   
0       1       6       	0.958	14.049    
0       1       7       	0.96 	14.0675   
0       1       8       	0.542	7.94192   
0       1       9       	0.826	12.0402   
0       1       10      	0.232	3.40534   
0       1       11      	0.83 	12.131    
0       1       12      	0.074	1.11075   
0       1       13      	0.8  	11.758    
0       1       14      	0.952	13.975    
0       1       15      	1    	14.662    
0       1       16      	0.938	13.6912   
0       1       17      	0.938	13.7323   
0       1       18      	0.53 	7.90259   
0       1       19      	0.942	13.7971   
0       1       20      	0.926	13.6199   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00428556  	91.815       	0.388416   	13.5751   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.316	4.25067   
0       1       2       	0.662	9.02649   
0       1       3       	0.926	12.6312   
0       1       4       	0.068	0.913532  
0       1       5       	0.676	9.14194   
0       1       6       	0.952	12.9774   
0       1       7       	0.826	11.2971   
0       1       8       	0.26 	3.58732   
0       1       9       	0.668	9.00484   
0       1       10      	0.87 	11.8127   
0       1       11      	0.064	0.869619  
0       1       12      	0.958	13.0707   
0       1       13      	0.296	4.06404   
0       1       14      	0.068	0.935328  
0       1       15      	0.928	12.6074   
