Waf: Entering directory `/home/kentux/git/ns-3-dev-git/build'
Waf: Leaving directory `/home/kentux/git/ns-3-dev-git/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.071s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00467764  	94.7841      	0.341552   	12.377    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.258	3.25203   
0       1       2       	0.956	11.87     
0       1       3       	0.914	11.3512   
0       1       4       	0.95 	11.8125   
0       1       5       	0.906	11.2334   
0       1       6       	0.268	3.34825   
0       1       7       	0.408	5.11114   
0       1       8       	0.282	3.53226   
0       1       9       	0.856	10.6197   
0       1       10      	0.376	4.65273   
0       1       11      	0.74 	9.24241   
0       1       12      	0.964	11.966    
0       1       13      	0.866	10.7607   
0       1       14      	0.728	9.02336   
0       1       15      	0.932	11.5914   
0       1       16      	0.948	11.7876   
0       1       17      	0.87 	10.7681   
0       1       18      	0.124	1.60814   
0       1       19      	0.94 	11.7104   
0       1       20      	0.952	11.7969   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00417289  	90.5676      	0.403669   	13.9143   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.316	4.40667   
0       1       2       	0.936	13.0345   
0       1       3       	0.604	8.39065   
0       1       4       	0.686	9.54395   
0       1       5       	0.368	5.17293   
0       1       6       	0.944	13.1348   
0       1       7       	0.8  	11.1414   
0       1       8       	0.336	4.61867   
0       1       9       	0.354	4.88451   
0       1       10      	0.548	7.61418   
0       1       11      	0.752	10.4281   
0       1       12      	0.728	10.0859   
0       1       13      	0.052	0.712295  
0       1       14      	0.686	9.47371   
0       1       15      	0.072	1.04647   
0       1       16      	0.998	13.9182   
0       1       17      	0.956	13.313    
0       1       18      	0.604	8.43453   
0       1       19      	0.108	1.52464   
0       1       20      	0.926	12.8902   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00424911  	91.7286      	0.389265   	13.6807   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.078	1.13409   
0       1       2       	0.304	4.07258   
0       1       3       	0.382	5.27128   
0       1       4       	0.408	5.49246   
0       1       5       	0.954	13.0964   
0       1       6       	0.896	12.3327   
0       1       7       	0.194	2.72874   
0       1       8       	0.794	10.8536   
0       1       9       	0.922	12.5705   
0       1       10      	0.048	0.664763  
0       1       11      	0.928	12.7004   
0       1       12      	0.942	12.9334   
0       1       13      	0.914	12.5465   
0       1       14      	0.952	13.0775   
0       1       15      	0.062	0.880047  
0       1       16      	0.054	0.775216  
0       1       17      	0.54 	7.4291    
0       1       18      	0.96 	13.1637   
0       1       19      	0.942	12.8565   
0       1       20      	0.682	9.34142   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00405875  	88.9161      	0.422189   	14.3041   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.884	12.6683   
0       1       2       	0.084	1.24468   
0       1       3       	0.542	7.77468   
0       1       4       	0.202	2.93438   
0       1       5       	0.794	11.393    
0       1       6       	0.69 	9.94745   
0       1       7       	0.952	13.6627   
0       1       8       	0.794	11.3606   
0       1       9       	0.052	0.764604  
0       1       10      	0.054	0.772664  
0       1       11      	0.944	13.4949   
0       1       12      	0.956	13.6991   
0       1       13      	1    	14.3384   
0       1       14      	0.894	12.8118   
0       1       15      	0.74 	10.5984   
0       1       16      	0.16 	2.31215   
0       1       17      	0.772	11.0445   
0       1       18      	0.514	7.37244   
0       1       19      	0.718	10.2849   
0       1       20      	0.936	13.4039   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00437817  	92.768       	0.374179   	13.3198   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.604	7.99609   
0       1       2       	0.894	11.9156   
0       1       3       	0.662	8.80509   
0       1       4       	0.476	6.33884   
0       1       5       	0.58 	7.76402   
0       1       6       	0.884	11.8188   
0       1       7       	0.776	10.388    
0       1       8       	0.062	0.802214  
0       1       9       	0.83 	11.0213   
0       1       10      	0.368	4.87106   
0       1       11      	0.046	0.588294  
0       1       12      	0.922	12.2376   
0       1       13      	0.59 	7.92093   
0       1       14      	0.782	10.3964   
0       1       15      	0.268	3.54159   
0       1       16      	0.922	12.2624   
0       1       17      	0.59 	7.81045   
0       1       18      	0.95 	12.6616   
0       1       19      	0.922	12.2583   
0       1       20      	0.152	2.08054   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00395408  	86.7234      	0.440651   	14.7      

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.956	14.0786   
0       1       2       	0.06 	0.879392  
0       1       3       	0.15 	2.22785   
0       1       4       	0.928	13.6847   
0       1       5       	0.87 	12.839    
0       1       6       	0.514	7.62351   
0       1       7       	0.352	5.22206   
0       1       8       	0.944	13.9021   
0       1       9       	0.8  	11.7664   
0       1       10      	0.582	8.57547   
0       1       11      	0.942	13.8453   
0       1       12      	0.548	8.05498   
0       1       13      	0.516	7.59608   
0       1       14      	0.948	13.989    
0       1       15      	0.58 	8.46726   
0       1       16      	0.336	4.97207   
0       1       17      	0.948	13.9795   
0       1       18      	0.772	11.405    
0       1       19      	0.152	2.22144   
0       1       20      	0.924	13.612    
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00378178  	79.326       	0.499721   	15.4104   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.856	13.1686   
0       1       2       	0.3  	4.65833   
0       1       3       	0.938	14.4667   
0       1       4       	0.772	11.7933   
0       1       5       	0.932	14.387    
0       1       6       	0.932	14.3532   
0       1       7       	0.932	14.3766   
0       1       8       	0.082	1.28942   
0       1       9       	0.938	14.445    
0       1       10      	0.932	14.393    
0       1       11      	0.736	11.3277   
0       1       12      	0.922	14.2081   
0       1       13      	0.856	13.2737   
0       1       14      	0.748	11.5035   
0       1       15      	0.084	1.32454   
0       1       16      	0.582	8.98705   
0       1       17      	0.354	5.46038   
0       1       18      	0.894	13.7471   
0       1       19      	0.928	14.3465   
0       1       20      	0.942	14.4991   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386291  	83.7565      	0.464187   	15.0256   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.548	8.24324   
0       1       2       	0.674	10.2423   
0       1       3       	0.368	5.54171   
0       1       4       	0.914	13.7391   
0       1       5       	0.336	5.10722   
0       1       6       	0.236	3.56205   
0       1       7       	0.94 	14.1742   
0       1       8       	0.626	9.43021   
0       1       9       	0.336	5.06819   
0       1       10      	0.826	12.4482   
0       1       11      	0.956	14.4123   
0       1       12      	0.548	8.26992   
0       1       13      	0.956	14.3913   
0       1       14      	0.258	3.8723    
0       1       15      	0.58 	8.74168   
0       1       16      	0.828	12.4191   
0       1       17      	0.948	14.2511   
0       1       18      	0.542	8.2092    
0       1       19      	0.132	1.97077   
0       1       20      	0.944	14.2322   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00439651  	92.7976      	0.3731     	13.2407   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.676	8.92632   
0       1       2       	0.96 	12.7322   
0       1       3       	0.132	1.76133   
0       1       4       	0.938	12.4516   
0       1       5       	0.132	1.72881   
0       1       6       	0.068	0.926188  
0       1       7       	0.398	5.23264   
0       1       8       	0.924	12.2155   
0       1       9       	0.582	7.69825   
0       1       10      	0.952	12.6288   
0       1       11      	0.344	4.58542   
0       1       12      	0.052	0.692907  
0       1       13      	0.06 	0.835647  
0       1       14      	0.826	11.0026   
0       1       15      	0.69 	9.15441   
0       1       16      	0.16 	2.09288   
0       1       17      	0.828	10.984    
0       1       18      	0.938	12.4298   
0       1       19      	0.94 	12.4273   
0       1       20      	0.854	11.315    
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00426615  	91.7924      	0.387762   	13.6198   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.686	9.36947   
0       1       2       	0.726	9.88262   
0       1       3       	0.154	2.10304   
0       1       4       	0.954	13.0123   
0       1       5       	0.062	0.827608  
0       1       6       	0.736	10.0645   
0       1       7       	0.26 	3.57443   
0       1       8       	0.954	13.0508   
0       1       9       	0.524	7.1093    
0       1       10      	0.974	13.2902   
0       1       11      	0.928	12.6683   
0       1       12      	0.952	13.0337   
0       1       13      	0.924	12.6171   
0       1       14      	0.128	1.74862   
0       1       15      	0.866	11.817    
0       1       16      	0.682	9.25926   
0       1       17      	0.408	5.59872   
0       1       18      	0.958	13.0934   
0       1       19      	0.938	12.8164   
0       1       20      	0.062	0.850891  
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00415514  	90.4962      	0.403391   	13.9857   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.932	13.0694   
0       1       2       	0.93 	13.0311   
0       1       3       	0.064	0.890735  
0       1       4       	0.67 	9.34966   
0       1       5       	0.948	13.2943   
0       1       6       	0.958	13.4197   
0       1       7       	0.604	8.47268   
0       1       8       	0.368	5.17709   
0       1       9       	0.15 	2.10347   
0       1       10      	0.156	2.14119   
0       1       11      	0.592	8.23406   
0       1       12      	0.368	5.16211   
0       1       13      	0.87 	12.1848   
0       1       14      	0.258	3.54482   
0       1       15      	0.622	8.65036   
0       1       16      	0.37 	5.2238    
0       1       17      	0.132	1.8364    
0       1       18      	0.936	13.1338   
0       1       19      	0.094	1.31476   
0       1       20      	0.948	13.3021   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00467251  	94.772       	0.339914   	12.4055   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.09 	1.10093   
0       1       2       	0.124	1.52646   
0       1       3       	0.43 	5.38389   
0       1       4       	0.37 	4.63305   
0       1       5       	1    	12.4521   
0       1       6       	0.95 	11.7827   
0       1       7       	0.548	6.83284   
0       1       8       	0.676	8.4045    
0       1       9       	0.118	1.46411   
0       1       10      	0.118	1.49336   
0       1       11      	0.126	1.52922   
0       1       12      	0.96 	11.9382   
0       1       13      	0.054	0.681574  
0       1       14      	0.972	12.0922   
0       1       15      	0.54 	6.73096   
0       1       16      	0.476	5.86487   
0       1       17      	0.958	11.9262   
0       1       18      	0.156	1.89794   
0       1       19      	0.59 	7.35798   
0       1       20      	0.476	5.87965   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00397445  	86.8245      	0.440713   	14.6448   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.438	6.46761   
0       1       2       	0.95 	13.941    
0       1       3       	0.938	13.8175   
0       1       4       	0.89 	12.97     
0       1       5       	0.926	13.5674   
0       1       6       	0.94 	13.8013   
0       1       7       	0.156	2.27923   
0       1       8       	0.92 	13.4441   
0       1       9       	0.054	0.812692  
0       1       10      	0.928	13.6063   
0       1       11      	0.924	13.5224   
0       1       12      	0.772	11.2777   
0       1       13      	0.952	14.0001   
0       1       14      	0.316	4.58732   
0       1       15      	0.686	10.0746   
0       1       16      	0.06 	0.860158  
0       1       17      	0.944	13.8652   
0       1       18      	0.59 	8.66275   
0       1       19      	0.718	10.4773   
0       1       20      	0.466	6.80045   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00427275  	91.7898      	0.386732   	13.604    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.93 	12.7093   
0       1       2       	0.592	8.17501   
0       1       3       	0.856	11.6375   
0       1       4       	0.952	13.0108   
0       1       5       	0.592	8.18292   
0       1       6       	0.842	11.4818   
0       1       7       	0.054	0.754243  
0       1       8       	0.084	1.12047   
0       1       9       	0.132	1.77492   
0       1       10      	0.214	2.95222   
0       1       11      	0.336	4.59366   
0       1       12      	0.954	12.9873   
0       1       13      	0.948	12.9095   
0       1       14      	0.95 	12.9833   
0       1       15      	0.928	12.6938   
0       1       16      	0.954	13.0091   
