0       0.6153  1       	0.922	14.2328   
0       0.6153  2       	0.96 	14.8825   
0       0.6153  10      	0.93 	14.4091   
0       0.6153  11      	0.456	7.09753   
0       0.6153  13      	0.974	15.0661   
0       0.6153  14      	0.87 	13.478    
0       0.6153  18      	0.772	11.9388   
0       0.6153  20      	0.514	7.9816    
5       0.1934  4       	0.66 	6.13709   
5       0.1934  7       	0.766	7.08929   
5       0.1934  12      	0.433	3.89738   
5       0.1934  16      	0.535	4.90365   
8       0.1314  6       	0.166	1.70588   
8       0.1314  9       	0.118	1.20229   
8       0.1314  15      	0.799	8.56533   
8       0.1314  19      	0.265	2.72448   
17      0.0598  3       	0.359	2.6541    
