Waf: Entering directory `/opt/workspace/ns-3-dev/build'
Waf: Leaving directory `/opt/workspace/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.017s)
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00467921  	94.786       	0.34085    	12.3788   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.108	1.33581   
0       1       2       	0.58 	7.20173   
0       1       3       	0.952	11.8299   
0       1       4       	0.514	6.39984   
0       1       5       	0.268	3.32607   
0       1       6       	0.962	11.9524   
0       1       7       	0.926	11.5241   
0       1       8       	0.258	3.15407   
0       1       9       	0.084	1.04021   
0       1       10      	0.282	3.54178   
0       1       11      	0.974	12.0918   
0       1       12      	0.564	7.06182   
0       1       13      	0.152	1.85758   
0       1       14      	0.87 	10.8606   
0       1       15      	0.548	6.74197   
0       1       16      	0.958	11.9005   
0       1       17      	0.736	9.12243   
0       1       18      	0.072	0.892128  
0       1       19      	0.662	8.26603   
0       1       20      	0.564	7.02344   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00417263  	90.5676      	0.403669   	13.9155   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.8  	11.126    
0       1       2       	0.826	11.4924   
0       1       3       	0.054	0.759294  
0       1       4       	0.16 	2.21302   
0       1       5       	0.938	13.0659   
0       1       6       	0.868	12.0663   
0       1       7       	0.542	7.59107   
0       1       8       	0.668	9.21834   
0       1       9       	0.582	8.15144   
0       1       10      	0.236	3.33447   
0       1       11      	0.944	13.1353   
0       1       12      	0.354	4.92315   
0       1       13      	0.532	7.45346   
0       1       14      	0.974	13.551    
0       1       15      	0.952	13.2812   
0       1       16      	0.516	7.11344   
0       1       17      	0.226	3.1425    
0       1       18      	0.914	12.71     
0       1       19      	0.214	2.96332   
0       1       20      	0.95 	13.2168   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00416295  	90.5074      	0.405807   	13.991    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.906	12.6978   
0       1       2       	0.368	5.1771    
0       1       3       	0.408	5.70966   
0       1       4       	0.202	2.8393    
0       1       5       	0.336	4.78242   
0       1       6       	0.928	12.9565   
0       1       7       	0.258	3.65884   
0       1       8       	0.118	1.66409   
0       1       9       	0.826	11.5053   
0       1       10      	0.54 	7.55778   
0       1       11      	0.964	13.4601   
0       1       12      	0.948	13.2543   
0       1       13      	0.688	9.56113   
0       1       14      	0.592	8.30863   
0       1       15      	0.336	4.68017   
0       1       16      	0.956	13.3869   
0       1       17      	0.19 	2.64902   
0       1       18      	0.916	12.7903   
0       1       19      	0.986	13.7986   
0       1       20      	0.884	12.3163   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0040687   	88.9633      	0.423657   	14.2813   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.946	13.5539   
0       1       2       	0.068	0.951483  
0       1       3       	1    	14.3158   
0       1       4       	0.054	0.758052  
0       1       5       	0.064	0.894057  
0       1       6       	0.564	8.12787   
0       1       7       	0.948	13.5512   
0       1       8       	0.914	13.0724   
0       1       9       	0.94 	13.4739   
0       1       10      	0.258	3.65314   
0       1       11      	0.662	9.46884   
0       1       12      	0.564	8.11796   
0       1       13      	0.938	13.4222   
0       1       14      	0.928	13.2485   
0       1       15      	0.938	13.4176   
0       1       16      	0.942	13.4951   
0       1       17      	0.078	1.09856   
0       1       18      	0.776	11.0782   
0       1       19      	0.322	4.54044   
0       1       20      	0.972	13.9032   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00437192  	92.7642      	0.371781   	13.3508   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.062	0.877297  
0       1       2       	0.826	10.9804   
0       1       3       	0.95 	12.7025   
0       1       4       	0.826	10.9921   
0       1       5       	0.954	12.7284   
0       1       6       	0.956	12.7055   
0       1       7       	0.048	0.649943  
0       1       8       	0.062	0.800184  
0       1       9       	0.604	8.06471   
0       1       10      	0.938	12.52     
0       1       11      	0.936	12.5341   
0       1       12      	0.914	12.1932   
0       1       13      	0.072	0.958365  
0       1       14      	0.958	12.8219   
0       1       15      	0.954	12.7399   
0       1       16      	0.938	12.506    
0       1       17      	0.082	1.06331   
0       1       18      	0.06 	0.803241  
0       1       19      	0.59 	7.88727   
0       1       20      	0.782	10.4597   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00395415  	86.7234      	0.440651   	14.7      

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.268	3.98336   
0       1       2       	0.906	13.3091   
0       1       3       	0.062	0.893627  
0       1       4       	0.69 	10.0947   
0       1       5       	0.938	13.8709   
0       1       6       	0.58 	8.52559   
0       1       7       	0.05 	0.757661  
0       1       8       	0.794	11.7301   
0       1       9       	0.398	5.87664   
0       1       10      	0.202	2.97111   
0       1       11      	0.932	13.7466   
0       1       12      	0.928	13.6743   
0       1       13      	0.572	8.41705   
0       1       14      	0.948	13.9843   
0       1       15      	0.258	3.75301   
0       1       16      	0.942	13.8742   
0       1       17      	0.932	13.7045   
0       1       18      	0.936	13.7961   
0       1       19      	0.95 	13.9792   
0       1       20      	0.542	8.02902   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00377617  	79.2966      	0.498214   	15.4226   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.948	14.6237   
0       1       2       	0.928	14.2603   
0       1       3       	0.592	9.18519   
0       1       4       	0.94 	14.5242   
0       1       5       	0.456	7.07875   
0       1       6       	0.276	4.27489   
0       1       7       	0.586	9.07926   
0       1       8       	0.408	6.23281   
0       1       9       	0.938	14.4637   
0       1       10      	0.736	11.3845   
0       1       11      	0.456	7.03012   
0       1       12      	0.408	6.3303    
0       1       13      	0.258	3.88959   
0       1       14      	0.932	14.3903   
0       1       15      	0.662	10.251    
0       1       16      	0.772	11.9988   
0       1       17      	0.676	10.4866   
0       1       18      	0.81 	12.5019   
0       1       19      	0.826	12.7726   
0       1       20      	0.226	3.46113   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00386473  	83.7626      	0.465395   	15.018    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.94 	14.1458   
0       1       2       	0.16 	2.45687   
0       1       3       	0.866	13.0546   
0       1       4       	0.856	12.9131   
0       1       5       	0.078	1.16463   
0       1       6       	0.772	11.6853   
0       1       7       	0.622	9.47298   
0       1       8       	0.368	5.53363   
0       1       9       	0.202	3.05295   
0       1       10      	0.69 	10.3287   
0       1       11      	0.942	14.2068   
0       1       12      	0.944	14.2297   
0       1       13      	0.58 	8.74615   
0       1       14      	0.94 	14.1571   
0       1       15      	0.8  	12.0321   
0       1       16      	0.936	14.1013   
0       1       17      	0.042	0.656553  
0       1       18      	0.532	7.96399   
0       1       19      	0.83 	12.4713   
0       1       20      	0.846	12.7353   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00438805  	92.7852      	0.37219    	13.2565   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.954	12.678    
0       1       2       	0.906	11.9864   
0       1       3       	0.662	8.816     
0       1       4       	0.232	3.10285   
0       1       5       	0.944	12.558    
0       1       6       	0.728	9.71076   
0       1       7       	0.258	3.44747   
0       1       8       	0.914	12.1511   
0       1       9       	0.132	1.72022   
0       1       10      	0.866	11.4683   
0       1       11      	0.928	12.2806   
0       1       12      	0.736	9.7601    
0       1       13      	0.958	12.7095   
0       1       14      	0.078	1.08295   
0       1       15      	0.938	12.4599   
0       1       16      	0.936	12.3991   
0       1       17      	0.914	12.1305   
0       1       18      	0.958	12.7006   
0       1       19      	0.894	11.8427   
0       1       20      	0.924	12.3047   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00426997  	91.7988      	0.387426   	13.6175   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.95 	12.9613   
0       1       2       	0.476	6.50366   
0       1       3       	0.048	0.689462  
0       1       4       	0.354	4.91022   
0       1       5       	0.942	12.8852   
0       1       6       	0.942	12.8686   
0       1       7       	0.736	10.0726   
0       1       8       	0.084	1.13471   
0       1       9       	0.93 	12.6974   
0       1       10      	0.548	7.49637   
0       1       11      	0.772	10.6023   
0       1       12      	0.914	12.5298   
0       1       13      	0.942	12.8585   
0       1       14      	0.8  	10.9087   
0       1       15      	0.45 	6.14277   
0       1       16      	0.952	12.9886   
0       1       17      	0.16 	2.17894   
0       1       18      	0.932	12.728    
0       1       19      	0.914	12.4499   
0       1       20      	0.69 	9.50731   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00416687  	90.5213      	0.399976   	13.998    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.846	11.8849   
0       1       2       	0.962	13.4823   
0       1       3       	0.772	10.8636   
0       1       4       	0.734	10.2678   
0       1       5       	0.59 	8.30425   
0       1       6       	0.288	4.05578   
0       1       7       	0.132	1.83274   
0       1       8       	0.95 	13.3181   
0       1       9       	0.956	13.3962   
0       1       10      	0.938	13.1428   
0       1       11      	0.26 	3.61251   
0       1       12      	0.772	10.8157   
0       1       13      	0.728	10.2056   
0       1       14      	0.662	9.20234   
0       1       15      	0.342	4.74547   
0       1       16      	0.068	0.957899  
0       1       17      	0.54 	7.58747   
0       1       18      	0.894	12.5346   
0       1       19      	0.936	13.1221   
0       1       20      	0.772	10.7816   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00477229  	95.2412      	0.331817   	12.128    

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.94 	11.4763   
0       1       2       	0.932	11.3484   
0       1       3       	0.078	0.937055  
0       1       4       	0.466	5.65865   
0       1       5       	0.87 	10.6484   
0       1       6       	0.074	0.953689  
0       1       7       	0.532	6.47914   
0       1       8       	1    	12.1831   
0       1       9       	0.476	5.78523   
0       1       10      	0.906	11.0322   
0       1       11      	0.156	1.8491    
0       1       12      	1    	12.1795   
0       1       13      	0.782	9.5549    
0       1       14      	0.8  	9.73243   
0       1       15      	0.87 	10.605    
0       1       16      	0.06 	0.709889  
0       1       17      	0.894	10.9238   
0       1       18      	0.062	0.744946  
0       1       19      	0.572	6.98192   
0       1       20      	0.94 	11.4487   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.0039806   	86.8466      	0.439705   	14.6443   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.132	1.93304   
0       1       2       	0.102	1.44592   
0       1       3       	0.676	9.86587   
0       1       4       	0.156	2.30108   
0       1       5       	0.93 	13.6247   
0       1       6       	0.614	9.02068   
0       1       7       	0.936	13.7034   
0       1       8       	0.952	13.9355   
0       1       9       	0.132	1.92959   
0       1       10      	0.662	9.68295   
0       1       11      	0.572	8.36391   
0       1       12      	0.15 	2.18169   
0       1       13      	0.062	0.894641  
0       1       14      	0.862	12.607    
0       1       15      	0.078	1.14436   
0       1       16      	0.914	13.3452   
0       1       17      	0.316	4.6986    
0       1       18      	0.548	8.00171   
0       1       19      	0.928	13.6277   
0       1       20      	0.772	11.3425   
--------- Running new experiment ---------
Downlink Cluster 0 1s
RelayID	AvgQueueWait	QueueDropRate	RequeueRate	Throughput
0      	0.00427118  	91.7844      	0.386732   	13.6072   

RelayID	ResRate	ClientID	PSR	Throughput	
0       1       1       	0.728	9.97236   
0       1       2       	0.856	11.7144   
0       1       3       	0.81 	10.9691   
0       1       4       	0.258	3.52734   
0       1       5       	0.772	10.5682   
0       1       6       	0.236	3.27573   
0       1       7       	0.174	2.40084   
0       1       8       	0.052	0.687961  
0       1       9       	0.95 	12.9408   
0       1       10      	0.942	12.8527   
0       1       11      	0.3  	4.14836   
0       1       12      	0.962	13.1586   
0       1       13      	0.516	7.04118   
0       1       14      	0.54 	7.4708    
0       1       15      	0.062	0.814091  
0       1       16      	0.884	12.0426   
